20220101, 대구, 팥(적두), 258000, 
20220101, 서울, 고구마(밤), 5980, 
20220101, 서울, 고구마(밤), 4600, 
20220101, 서울, 고구마(밤), 6270, 
20220101, 부산, 고구마(밤), 5000, 
20220101, 부산, 고구마(밤), 5950, 
20220101, 부산, 고구마(밤), 5270, 
20220101, 대구, 고구마(밤), 5000, 
20220101, 대구, 고구마(밤), 5980, 
20220101, 대구, 고구마(밤), 5950, 
20220101, 인천, 고구마(밤), 5000, 
20220101, 인천, 고구마(밤), 4660, 
20220101, 광주, 고구마(밤), 5000, 
20220101, 광주, 고구마(밤), 5950, 
20220101, 광주, 고구마(밤), 5450, 
20220101, 대전, 고구마(밤), 5660, 
20220101, 대전, 고구마(밤), 5990, 
20220101, 대전, 고구마(밤), 4660, 
20220101, 울산, 고구마(밤), 5330, 
20220101, 울산, 고구마(밤), 5950, 
20220101, 세종, 고구마(밤), 5990, 
20220101, 경기수원, 고구마(밤), 5330, 
20220101, 경기, 고구마(밤), 4530, 
20220101, 경기의정부, 고구마(밤), 5950, 
20220101, 강원춘천, 고구마(밤), 5000, 
20220101, 강원, 고구마(밤), 6990, 
20220101, 강원강릉, 고구마(밤), 6110, 
20220101, 강원강릉, 고구마(밤), 5950, 
20220101, 충북청주, 고구마(밤), 5000, 
20220101, 부산, 당근, 27000, 
20220101, 대구, 당근, 26000, 
20220101, 대전, 당근, 25300, 
20220101, 서울서부, 당근, 2330, 
20220101, 서울서부, 당근, 2500, 
20220101, 부산, 당근, 2000, 
20220101, 대구, 당근, 2500, 
20220101, 인천, 당근, 2000, 
20220101, 광주, 당근, 2500, 
20220101, 대전, 당근, 1900, 
20220101, 울산, 당근, 2600, 
20220101, 경기수원, 당근, 2330, 
20220101, 충북청주, 당근, 2500, 
20220101, 서울서부, 당근, 14000, 
20220101, 부산, 당근, 15000, 
20220101, 대구, 당근, 14000, 
20220101, 대전, 당근, 14600, 
20220101, 서울서부, 열무, 11700, 
20220101, 부산, 열무, 10000, 
20220101, 대구, 열무, 11000, 
20220101, 대전, 열무, 11300, 
20220101, 서울, 열무, 3990, 
20220101, 서울, 열무, 6150, 
20220101, 서울, 열무, 1820, 
20220101, 서울, 열무, 3990, 
20220101, 부산, 열무, 6150, 
20220101, 대구, 열무, 2650, 
20220101, 대구, 열무, 6150, 
20220101, 울산, 열무, 6150, 
20220101, 경기의정부, 열무, 6240, 
20220101, 강원강릉, 열무, 6070, 
20220101, 청주, 열무, 2180, 
20220101, 전남순천, 열무, 6150, 
20220101, 경북안동, 열무, 3050, 
20220101, 경남창원, 열무, 2340, 
20220101, 서울서부, 열무, 10700, 
20220101, 부산, 열무, 8000, 
20220101, 대구, 열무, 9000, 
20220101, 청주, 고구마(밤), 5480, 
20220101, 전북전주, 고구마(밤), 5000, 
20220101, 전주, 고구마(밤), 5980, 
20220101, 전남순천, 고구마(밤), 5950, 
20220101, 전남순천, 고구마(밤), 4400, 
20220101, 경북포항, 고구마(밤), 4330, 
20220101, 경북포항, 고구마(밤), 6270, 
20220101, 경북안동, 고구마(밤), 5990, 
20220101, 경남창원, 고구마(밤), 4500, 
20220101, 경남창원, 고구마(밤), 5980, 
20220101, 제주, 고구마(밤), 5000, 
20220101, 제주, 고구마(밤), 5990, 
20220101, 대전, 딸기, 2850, 
20220101, 대전, 딸기, 2780, 
20220101, 대전, 딸기, 2780, 
20220101, 울산, 딸기, 2330, 
20220101, 울산, 딸기, 3140, 
20220101, 세종, 딸기, 2580, 
20220101, 경기수원, 딸기, 2630, 
20220101, 경기, 딸기, 2580, 
20220101, 경기의정부, 딸기, 3140, 
20220101, 강원, 딸기, 2780, 
20220101, 강원강릉, 딸기, 2800, 
20220101, 강원강릉, 딸기, 3140, 
20220101, 충북청주, 딸기, 2500, 
20220101, 청주, 딸기, 2900, 
20220101, 전북전주, 딸기, 2530, 
20220101, 전주, 딸기, 2250, 
20220101, 전남순천, 딸기, 3140, 
20220101, 전남순천, 딸기, 3000, 
20220101, 경북포항, 딸기, 2580, 
20220101, 경북포항, 딸기, 2650, 
20220101, 경북안동, 딸기, 2580, 
20220101, 경남창원, 딸기, 2300, 
20220101, 경남창원, 딸기, 2580, 
20220101, 제주, 딸기, 3000, 
20220101, 제주, 딸기, 2580, 
20220101, 서울서부, 딸기, 42000, 
20220101, 부산, 딸기, 36000, 
20220101, 대구, 딸기, 34000, 
20220101, 대전, 딸기, 35300, 
20220101, 서울서부, 딸기, 2260, 
20220101, 부산, 딸기, 2000, 
20220101, 대구, 딸기, 2660, 
20220101, 대전, 딸기, 2450, 
20220101, 경기수원, 딸기, 2000, 
20220101, 전북전주, 딸기, 2160, 
20220101, 전남순천, 딸기, 2400, 
20220101, 대구, 상추, 22000, 
20220101, 대전, 상추, 26500, 
20220101, 서울서부, 상추, 1080, 
20220101, 서울서부, 상추, 910, 
20220101, 서울, 상추, 1060, 
20220101, 서울, 상추, 1430, 
20220101, 서울, 상추, 890, 
20220101, 서울, 상추, 1050, 
20220101, 서울, 상추, 1060, 
20220101, 부산, 상추, 800, 
20220101, 부산, 상추, 1430, 
20220101, 대구, 상추, 800, 
20220101, 대구, 상추, 790, 
20220101, 대구, 상추, 1430, 
20220101, 인천, 상추, 1000, 
20220101, 인천, 상추, 1060, 
20220101, 광주, 상추, 800, 
20220101, 광주, 상추, 1430, 
20220101, 광주, 상추, 890, 
20220101, 대전, 상추, 930, 
20220101, 대전, 상추, 890, 
20220101, 대전, 상추, 1060, 
20220101, 울산, 상추, 960, 
20220101, 울산, 상추, 1430, 
20220101, 세종, 상추, 890, 
20220101, 경기수원, 상추, 750, 
20220101, 경기, 상추, 990, 
20220101, 경기의정부, 상추, 1430, 
20220101, 강원춘천, 상추, 830, 
20220101, 강원, 상추, 1060, 
20220101, 강원강릉, 상추, 1100, 
20220101, 강원강릉, 상추, 1430, 
20220101, 충북청주, 상추, 830, 
20220101, 청주, 상추, 1480, 
20220101, 전주, 상추, 940, 
20220101, 전남순천, 상추, 1430, 
20220101, 전남순천, 상추, 700, 
20220101, 경북포항, 상추, 800, 
20220101, 경북포항, 상추, 1060, 
20220101, 경북안동, 상추, 890, 
20220101, 경남창원, 딸기, 1930, 
20220101, 서울서부, 무, 11000, 
20220101, 부산, 무, 11000, 
20220101, 대구, 무, 12000, 
20220101, 서울서부, 고구마(밤), 29000, 
20220101, 부산, 고구마(밤), 28000, 
20220101, 대구, 고구마(밤), 29000, 
20220101, 대전, 고구마(밤), 27200, 
20220101, 서울서부, 고구마(밤), 5000, 
20220101, 서울서부, 고구마(밤), 4330, 
20220101, 부산, 고구마(밤), 4000, 
20220101, 대구, 고구마(밤), 4330, 
20220101, 인천, 고구마(밤), 4000, 
20220101, 광주, 고구마(밤), 4000, 
20220101, 대전, 고구마(밤), 4830, 
20220101, 울산, 고구마(밤), 4830, 
20220101, 경기수원, 고구마(밤), 4330, 
20220101, 강원춘천, 고구마(밤), 4500, 
20220101, 서울서부, 감자, 47000, 
20220101, 부산, 감자, 42000, 
20220101, 대구, 감자, 43000, 
20220101, 대전, 감자, 43700, 
20220101, 서울서부, 감자, 300, 
20220101, 서울서부, 감자, 300, 
20220101, 서울, 감자, 799, 
20220101, 서울, 감자, 450, 
20220101, 서울, 감자, 350, 
20220101, 서울, 감자, 799, 
20220101, 부산, 감자, 300, 
20220101, 대전, 열무, 10300, 
20220101, 서울서부, 건고추, 600000, 
20220101, 부산, 건고추, 550000, 
20220101, 대구, 건고추, 525000, 
20220101, 서울, 건고추, 11980, 
20220101, 부산, 건고추, 18000, 
20220101, 대구, 건고추, 13000, 
20220101, 대구, 건고추, 11980, 
20220101, 광주, 건고추, 10600, 
20220101, 광주, 건고추, 11980, 
20220101, 대전, 건고추, 13000, 
20220101, 경기, 건고추, 12780, 
20220101, 충북청주, 건고추, 12300, 
20220101, 청주, 건고추, 12960, 
20220101, 전북전주, 건고추, 10600, 
20220101, 전남순천, 건고추, 11980, 
20220101, 전남순천, 건고추, 11600, 
20220101, 경북포항, 건고추, 15000, 
20220101, 경남창원, 건고추, 16000, 
20220101, 제주, 건고추, 18300, 
20220101, 서울서부, 건고추, 550000, 
20220101, 부산, 건고추, 500000, 
20220101, 대구, 건고추, 462000, 
20220101, 대전, 건고추, 450000, 
20220101, 서울서부, 건고추, 750000, 
20220101, 부산, 건고추, 725000, 
20220101, 대구, 건고추, 675000, 
20220101, 대전, 건고추, 633000, 
20220101, 서울서부, 건고추, 18000, 
20220101, 서울서부, 건고추, 19300, 
20220101, 부산, 건고추, 21000, 
20220101, 대구, 건고추, 18000, 
20220101, 인천, 건고추, 19000, 
20220101, 광주, 건고추, 13000, 
20220101, 대전, 건고추, 15700, 
20220101, 울산, 건고추, 17000, 
20220101, 경기수원, 건고추, 19600, 
20220101, 경기, 건고추, 15800, 
20220101, 강원, 건고추, 14300, 
20220101, 서울서부, 쌀, 51200, 
20220101, 부산, 쌀, 52000, 
20220101, 대구, 쌀, 54600, 
20220101, 광주, 쌀, 52300, 
20220101, 대전, 쌀, 52600, 
20220101, 서울서부, 쌀, 56500, 
20220101, 서울서부, 쌀, 58500, 
20220101, 서울, 쌀, 54900, 
20220101, 서울, 쌀, 49900, 
20220101, 서울, 쌀, 53900, 
20220101, 서울, 쌀, 53500, 
20220101, 서울, 쌀, 54900, 
20220101, 대전, 무, 13800, 
20220101, 서울서부, 무, 2000, 
20220101, 서울서부, 무, 2000, 
20220101, 서울, 무, 1590, 
20220101, 서울, 무, 1650, 
20220101, 서울, 무, 1240, 
20220101, 서울, 무, 1590, 
20220101, 부산, 무, 2000, 
20220101, 부산, 무, 1990, 
20220101, 대구, 무, 2000, 
20220101, 대구, 무, 1480, 
20220101, 인천, 무, 2000, 
20220101, 인천, 무, 1590, 
20220101, 광주, 무, 2000, 
20220101, 광주, 무, 1480, 
20220101, 대전, 무, 1700, 
20220101, 대전, 무, 1480, 
20220101, 대전, 무, 1590, 
20220101, 울산, 무, 2000, 
20220101, 세종, 무, 1480, 
20220101, 경기수원, 무, 1830, 
20220101, 경기, 무, 1240, 
20220101, 강원춘천, 무, 2000, 
20220101, 강원, 무, 1590, 
20220101, 강원강릉, 무, 2160, 
20220101, 충북청주, 무, 2000, 
20220101, 청주, 무, 1240, 
20220101, 전북전주, 무, 1830, 
20220101, 전주, 무, 1680, 
20220101, 전남순천, 무, 2000, 
20220101, 경북포항, 무, 2000, 
20220101, 경북안동, 무, 1480, 
20220101, 경남창원, 무, 2000, 
20220101, 경남창원, 무, 1480, 
20220101, 제주, 무, 1660, 
20220101, 제주, 무, 1480, 
20220101, 경남창원, 상추, 660, 
20220101, 경남창원, 상추, 890, 
20220101, 제주, 상추, 660, 
20220101, 제주, 상추, 890, 
20220101, 서울서부, 상추, 18200, 
20220101, 부산, 상추, 16000, 
20220101, 대구, 상추, 18000, 
20220101, 대전, 상추, 24500, 
20220101, 서울서부, 상추, 830, 
20220101, 서울서부, 상추, 670, 
20220101, 부산, 상추, 600, 
20220101, 대구, 상추, 680, 
20220101, 인천, 상추, 750, 
20220101, 광주, 상추, 700, 
20220101, 대전, 상추, 680, 
20220101, 울산, 상추, 830, 
20220101, 경기수원, 상추, 630, 
20220101, 강원춘천, 상추, 680, 
20220101, 강원강릉, 상추, 860, 
20220101, 서울서부, 상추, 25200, 
20220101, 부산, 상추, 21000, 
20220101, 대구, 상추, 20000, 
20220101, 대전, 상추, 25300, 
20220101, 서울서부, 상추, 1080, 
20220101, 서울서부, 상추, 910, 
20220101, 서울, 상추, 1060, 
20220101, 서울, 상추, 1560, 
20220101, 서울, 상추, 1050, 
20220101, 서울, 상추, 1060, 
20220101, 부산, 상추, 800, 
20220101, 부산, 상추, 1560, 
20220101, 대구, 상추, 850, 
20220101, 대구, 상추, 1560, 
20220101, 인천, 상추, 1000, 
20220101, 인천, 상추, 1060, 
20220101, 광주, 상추, 800, 
20220101, 광주, 상추, 1560, 
20220101, 대전, 상추, 780, 
20220101, 대전, 상추, 1060, 
20220101, 울산, 상추, 1560, 
20220101, 서울서부, 무, 9000, 
20220101, 부산, 무, 9000, 
20220101, 대구, 무, 10500, 
20220101, 대전, 무, 11800, 
20220101, 서울서부, 무, 1500, 
20220101, 서울서부, 무, 1500, 
20220101, 부산, 미나리, 100000, 
20220101, 대구, 미나리, 105000, 
20220101, 대전, 미나리, 112000, 
20220101, 서울서부, 미나리, 930, 
20220101, 서울서부, 미나리, 900, 
20220101, 서울, 미나리, 1130, 
20220101, 인천, 미나리, 1000, 
20220101, 광주, 미나리, 750, 
20220101, 대전, 미나리, 950, 
20220101, 울산, 미나리, 800, 
20220101, 경기수원, 미나리, 900, 
20220101, 강원강릉, 미나리, 860, 
20220101, 전북전주, 미나리, 710, 
20220101, 전남순천, 미나리, 830, 
20220101, 경남창원, 미나리, 810, 
20220101, 제주, 미나리, 1330, 
20220101, 서울서부, 미나리, 130000, 
20220101, 부산, 미나리, 90000, 
20220101, 대구, 미나리, 95000, 
20220101, 대전, 미나리, 102000, 
20220101, 서울서부, 깻잎, 35500, 
20220101, 부산, 깻잎, 34000, 
20220101, 대구, 깻잎, 37000, 
20220101, 대전, 깻잎, 36300, 
20220101, 서울서부, 깻잎, 2160, 
20220101, 서울서부, 깻잎, 2000, 
20220101, 서울, 깻잎, 3560, 
20220101, 서울, 깻잎, 2410, 
20220101, 서울, 깻잎, 2200, 
20220101, 서울, 깻잎, 2880, 
20220101, 서울, 깻잎, 3560, 
20220101, 부산, 깻잎, 1500, 
20220101, 부산, 깻잎, 2410, 
20220101, 부산, 깻잎, 1660, 
20220101, 대구, 깻잎, 2000, 
20220101, 대구, 깻잎, 2960, 
20220101, 대구, 깻잎, 2410, 
20220101, 부산, 쌀, 57000, 
20220101, 부산, 감자, 250, 
20220101, 대구, 감자, 330, 
20220101, 대구, 감자, 450, 
20220101, 인천, 감자, 310, 
20220101, 인천, 감자, 799, 
20220101, 광주, 감자, 300, 
20220101, 광주, 감자, 300, 
20220101, 대전, 감자, 310, 
20220101, 대전, 감자, 799, 
20220101, 울산, 감자, 290, 
20220101, 경기수원, 감자, 360, 
20220101, 경기, 감자, 390, 
20220101, 강원춘천, 감자, 280, 
20220101, 강원, 감자, 799, 
20220101, 강원강릉, 감자, 300, 
20220101, 충북청주, 감자, 260, 
20220101, 청주, 감자, 250, 
20220101, 전북전주, 감자, 280, 
20220101, 전남순천, 감자, 280, 
20220101, 경북포항, 감자, 300, 
20220101, 경북포항, 감자, 799, 
20220101, 경북안동, 감자, 450, 
20220101, 경남창원, 감자, 300, 
20220101, 서울서부, 감자, 45000, 
20220101, 부산, 감자, 38000, 
20220101, 대구, 감자, 37000, 
20220101, 대전, 감자, 40700, 
20220101, 서울서부, 감자, 250, 
20220101, 서울서부, 감자, 250, 
20220101, 부산, 감자, 240, 
20220101, 대구, 감자, 280, 
20220101, 인천, 감자, 260, 
20220101, 광주, 감자, 250, 
20220101, 대전, 감자, 260, 
20220101, 울산, 감자, 250, 
20220101, 경기수원, 감자, 280, 
20220101, 강원춘천, 감자, 230, 
20220101, 강원강릉, 감자, 250, 
20220101, 충북청주, 감자, 210, 
20220101, 인천, 호박, 2290, 
20220101, 광주, 호박, 2000, 
20220101, 광주, 호박, 2390, 
20220101, 광주, 호박, 2180, 
20220101, 대전, 호박, 2000, 
20220101, 대전, 호박, 2180, 
20220101, 대전, 호박, 2290, 
20220101, 울산, 호박, 2000, 
20220101, 울산, 호박, 2390, 
20220101, 세종, 호박, 2180, 
20220101, 경기수원, 호박, 2000, 
20220101, 경기, 호박, 1650, 
20220101, 경기의정부, 호박, 2390, 
20220101, 강원춘천, 호박, 2000, 
20220101, 강원, 호박, 2290, 
20220101, 강원강릉, 호박, 2000, 
20220101, 강원강릉, 호박, 2390, 
20220101, 충북청주, 호박, 2100, 
20220101, 청주, 호박, 1880, 
20220101, 전북전주, 호박, 1930, 
20220101, 전주, 호박, 2380, 
20220101, 전남순천, 호박, 2390, 
20220101, 전남순천, 호박, 1830, 
20220101, 경북포항, 호박, 1760, 
20220101, 경북포항, 호박, 2290, 
20220101, 경북안동, 호박, 2180, 
20220101, 경남창원, 호박, 1760, 
20220101, 경남창원, 호박, 2180, 
20220101, 제주, 호박, 2000, 
20220101, 제주, 호박, 2180, 
20220101, 서울서부, 호박, 30500, 
20220101, 부산, 호박, 28000, 
20220101, 대구, 호박, 28000, 
20220101, 대전, 호박, 33500, 
20220101, 서울서부, 호박, 1900, 
20220101, 서울서부, 호박, 1600, 
20220101, 부산, 호박, 1200, 
20220101, 대구, 호박, 1550, 
20220101, 인천, 호박, 2000, 
20220101, 서울, 무, 1890, 
20220101, 부산, 무, 1500, 
20220101, 부산, 무, 1890, 
20220101, 대구, 무, 1500, 
20220101, 대구, 무, 1890, 
20220101, 인천, 무, 1500, 
20220101, 광주, 무, 1500, 
20220101, 광주, 무, 1890, 
20220101, 대전, 무, 1200, 
20220101, 울산, 무, 1500, 
20220101, 울산, 무, 1890, 
20220101, 경기수원, 무, 1330, 
20220101, 경기의정부, 무, 1890, 
20220101, 강원춘천, 무, 1500, 
20220101, 강원강릉, 무, 1660, 
20220101, 강원강릉, 무, 1890, 
20220101, 충북청주, 무, 1500, 
20220101, 전북전주, 무, 1330, 
20220101, 전남순천, 무, 1890, 
20220101, 전남순천, 무, 1500, 
20220101, 경북포항, 무, 1330, 
20220101, 경북포항, 무, 1590, 
20220101, 경남창원, 무, 1500, 
20220101, 서울서부, 당근, 33000, 
20220101, 부산, 당근, 31000, 
20220101, 대구, 당근, 30000, 
20220101, 대전, 당근, 29300, 
20220101, 서울서부, 당근, 2830, 
20220101, 서울서부, 당근, 3000, 
20220101, 서울, 당근, 4290, 
20220101, 서울, 당근, 2800, 
20220101, 서울, 당근, 2980, 
20220101, 서울, 당근, 2300, 
20220101, 경기수원, 상추, 750, 
20220101, 경기, 상추, 990, 
20220101, 경기의정부, 상추, 1560, 
20220101, 강원강릉, 상추, 1560, 
20220101, 충북청주, 상추, 830, 
20220101, 청주, 상추, 1480, 
20220101, 전북전주, 상추, 700, 
20220101, 전남순천, 상추, 1560, 
20220101, 전남순천, 상추, 700, 
20220101, 경북포항, 상추, 750, 
20220101, 경북포항, 상추, 1060, 
20220101, 제주, 상추, 600, 
20220101, 제주, 상추, 1280, 
20220101, 서울서부, 상추, 22200, 
20220101, 부산, 상추, 16000, 
20220101, 대구, 상추, 14500, 
20220101, 대전, 상추, 22300, 
20220101, 서울서부, 상추, 830, 
20220101, 서울서부, 상추, 670, 
20220101, 부산, 상추, 600, 
20220101, 대구, 상추, 750, 
20220101, 인천, 상추, 750, 
20220101, 광주, 상추, 700, 
20220101, 대전, 상추, 560, 
20220101, 경기수원, 상추, 630, 
20220101, 서울서부, 얼갈이배추, 9500, 
20220101, 부산, 얼갈이배추, 8000, 
20220101, 대구, 얼갈이배추, 9000, 
20220101, 대전, 얼갈이배추, 10300, 
20220101, 서울, 얼갈이배추, 3490, 
20220101, 서울, 얼갈이배추, 4780, 
20220101, 서울, 얼갈이배추, 1860, 
20220101, 서울, 얼갈이배추, 3490, 
20220101, 부산, 얼갈이배추, 1800, 
20220101, 부산, 얼갈이배추, 4780, 
20220101, 대구, 얼갈이배추, 2000, 
20220101, 대구, 얼갈이배추, 2650, 
20220101, 대구, 얼갈이배추, 4780, 
20220101, 인천, 얼갈이배추, 3490, 
20220101, 광주, 얼갈이배추, 4850, 
20220101, 광주, 얼갈이배추, 2850, 
20220101, 대전, 얼갈이배추, 2160, 
20220101, 대전, 얼갈이배추, 3880, 
20220101, 울산, 얼갈이배추, 4780, 
20220101, 세종, 얼갈이배추, 2840, 
20220101, 인천, 깻잎, 3560, 
20220101, 광주, 깻잎, 2000, 
20220101, 서울, 사과, 17450, 
20220101, 서울, 사과, 15960, 
20220101, 서울, 사과, 19980, 
20220101, 부산, 사과, 20000, 
20220101, 부산, 사과, 13000, 
20220101, 부산, 사과, 19800, 
20220101, 대구, 사과, 19000, 
20220101, 대구, 사과, 15900, 
20220101, 대구, 사과, 11990, 
20220101, 인천, 사과, 17500, 
20220101, 인천, 사과, 19980, 
20220101, 광주, 사과, 25000, 
20220101, 광주, 사과, 13000, 
20220101, 광주, 사과, 17450, 
20220101, 대전, 사과, 18300, 
20220101, 대전, 사과, 12000, 
20220101, 대전, 사과, 17980, 
20220101, 울산, 사과, 19000, 
20220101, 울산, 사과, 13000, 
20220101, 세종, 사과, 17450, 
20220101, 경기수원, 사과, 20000, 
20220101, 경기, 사과, 16500, 
20220101, 경기의정부, 사과, 13000, 
20220101, 강원춘천, 사과, 22500, 
20220101, 강원, 사과, 17980, 
20220101, 강원강릉, 사과, 20000, 
20220101, 강원강릉, 사과, 13000, 
20220101, 충북청주, 사과, 18900, 
20220101, 청주, 사과, 19000, 
20220101, 전북전주, 사과, 17800, 
20220101, 전주, 사과, 17450, 
20220101, 전남순천, 사과, 11990, 
20220101, 전남순천, 사과, 15800, 
20220101, 경북포항, 사과, 15000, 
20220101, 경북안동, 사과, 15960, 
20220101, 경남창원, 사과, 17450, 
20220101, 서울서부, 배, 50700, 
20220101, 부산, 배, 52000, 
20220101, 대구, 배, 52000, 
20220101, 부산, 쇠고기, 8000, 
20220101, 대구, 쇠고기, 9080, 
20220101, 광주, 쇠고기, 9820, 
20220101, 광주, 쇠고기, 4980, 
20220101, 울산, 쇠고기, 9820, 
20220101, 세종, 쇠고기, 9080, 
20220101, 경기수원, 쇠고기, 6000, 
20220101, 경기의정부, 쇠고기, 9820, 
20220101, 청주, 쇠고기, 7370, 
20220101, 전북전주, 쇠고기, 5160, 
20220101, 전주, 쇠고기, 4980, 
20220101, 전남순천, 쇠고기, 9820, 
20220101, 경북안동, 쇠고기, 9080, 
20220101, 경남창원, 쇠고기, 9080, 
20220101, 서울서부, 쇠고기, 4500, 
20220101, 서울, 쇠고기, 4975, 
20220101, 서울, 쇠고기, 7180, 
20220101, 부산, 쇠고기, 4500, 
20220101, 대구, 쇠고기, 4250, 
20220101, 대구, 쇠고기, 4975, 
20220101, 대구, 쇠고기, 8910, 
20220101, 인천, 쇠고기, 4750, 
20220101, 광주, 쇠고기, 4730, 
20220101, 대전, 쇠고기, 4400, 
20220101, 대전, 쇠고기, 4975, 
20220101, 대전, 쇠고기, 8400, 
20220101, 울산, 쇠고기, 4560, 
20220101, 세종, 쇠고기, 4975, 
20220101, 경기, 쇠고기, 7790, 
20220101, 강원춘천, 쇠고기, 5950, 
20220101, 강원강릉, 쇠고기, 4100, 
20220101, 강원강릉, 쇠고기, 8910, 
20220101, 충북청주, 쇠고기, 5160, 
20220101, 청주, 쇠고기, 7210, 
20220101, 전남순천, 쇠고기, 4500, 
20220101, 경북포항, 쇠고기, 4760, 
20220101, 경북포항, 쇠고기, 7900, 
20220101, 경북안동, 쇠고기, 4975, 
20220101, 서울서부, 파프리카, 18700, 
20220101, 대구, 단감, 43000, 
20220101, 대전, 단감, 37600, 
20220101, 서울서부, 단감, 12500, 
20220101, 서울서부, 단감, 13100, 
20220101, 서울, 단감, 17980, 
20220101, 서울, 단감, 13960, 
20220101, 부산, 단감, 17000, 
20220101, 대구, 단감, 15600, 
20220101, 인천, 단감, 16000, 
20220101, 인천, 단감, 17980, 
20220101, 광주, 단감, 12000, 
20220101, 대전, 단감, 15500, 
20220101, 대전, 단감, 17980, 
20220101, 울산, 단감, 12000, 
20220101, 경기수원, 단감, 14600, 
20220101, 강원춘천, 단감, 12200, 
20220101, 강원, 단감, 17980, 
20220101, 강원강릉, 단감, 12000, 
20220101, 충북청주, 단감, 15000, 
20220101, 청주, 단감, 15000, 
20220101, 경북포항, 단감, 10600, 
20220101, 경북포항, 단감, 17980, 
20220101, 제주, 단감, 15600, 
20220101, 제주, 단감, 13960, 
20220101, 서울서부, 단감, 42500, 
20220101, 부산, 단감, 37000, 
20220101, 대구, 단감, 38000, 
20220101, 대전, 단감, 32600, 
20220101, 서울서부, 단감, 8220, 
20220101, 서울, 단감, 12900, 
20220101, 서울, 단감, 9870, 
20220101, 부산, 단감, 12000, 
20220101, 부산, 단감, 11800, 
20220101, 대구, 단감, 11600, 
20220101, 대구, 단감, 11960, 
20220101, 인천, 단감, 12000, 
20220101, 광주, 단감, 11960, 
20220101, 대전, 단감, 10000, 
20220101, 대전, 단감, 12900, 
20220101, 제주, 쇠고기, 3380, 
20220101, 서울서부, 쇠고기, 2000, 
20220101, 서울, 쇠고기, 3500, 
20220101, 부산, 쇠고기, 2780, 
20220101, 광주, 쇠고기, 2780, 
20220101, 대전, 쇠고기, 2330, 
20220101, 울산, 쇠고기, 3500, 
20220101, 경기수원, 쇠고기, 2150, 
20220101, 경기의정부, 쇠고기, 3500, 
20220101, 전남순천, 쇠고기, 2780, 
20220101, 서울, 우유, 2710, 
20220101, 서울, 우유, 2710, 
20220101, 서울, 우유, 2710, 
20220101, 서울, 우유, 2710, 
20220101, 서울, 우유, 2710, 
20220101, 부산, 우유, 2710, 
